param,paramName,shortName,unit,encoding,stream,type,levtype,step,levelist
31,Sea ice area fraction,ci,(0 - 1),instantaneous,oper,fc,sfc,0/1/to/96,
34,Sea surface temperature,sst,K,instantaneous,oper,fc,sfc,0/1/to/96,
78,Total column cloud liquid water,tclw,kg m**-2,instantaneous,oper,fc,sfc,0/1/to/96,
134,Surface pressure,sp,Pa,instantaneous,oper,fc,sfc,0/1/to/96,
136,Total column water,tcw,kg m**-2,instantaneous,oper,fc,sfc,0/1/to/96,
137,Total column vertically-integrated water vapour,tcwv,kg m**-2,instantaneous,oper,fc,sfc,0/1/to/96,
151,Mean sea level pressure,msl,Pa,instantaneous,oper,fc,sfc,0/1/to/96,
165,10 metre U wind component,10u,m s**-1,instantaneous,oper,fc,sfc,0/1/to/96,
166,10 metre V wind component,10v,m s**-1,instantaneous,oper,fc,sfc,0/1/to/96,
167,2 metre temperature,2t,K,instantaneous,oper,fc,sfc,0/1/to/96,
168,2 metre dewpoint temperature,2d,K,instantaneous,oper,fc,sfc,0/1/to/96,
3020,Visibility,vis,m,instantaneous,oper,fc,sfc,0/1/to/96,
228029,Instantaneous 10 metre wind gust,i10fg,m s**-1,instantaneous,oper,fc,sfc,0/1/to/96,
228050,Instantaneous total lightning flash density,litoti,km**-2 day**-1,instantaneous,oper,fc,sfc,0/1/to/96,
228218,Convective rain rate,crr,kg m**-2 s**-1,instantaneous,oper,fc,sfc,0/1/to/96,
228219,Large scale rain rate,lsrr,kg m**-2 s**-1,instantaneous,oper,fc,sfc,0/1/to/96,
228221,Large scale snowfall rate water equivalent,lssfr,kg m**-2 s**-1,instantaneous,oper,fc,sfc,0/1/to/96,
228235,Most-unstable CAPE,mucape,J kg**-1,instantaneous,oper,fc,sfc,0/1/to/96,
260015,Precipitation type,ptype,code table (4.201),instantaneous,oper,fc,sfc,0/1/to/96,
140221,Mean zero-crossing wave period,mp2,s,instantaneous,wave,fc,sfc,0/1/to/96,
140229,Significant height of combined wind waves and swell,swh,m,instantaneous,wave,fc,sfc,0/1/to/96,
140230,Mean wave direction,mwd,degrees,instantaneous,wave,fc,sfc,0/1/to/96,
140231,Peak wave period,pp1d,s,instantaneous,wave,fc,sfc,0/1/to/96,
140232,Mean wave period,mwp,s,instantaneous,wave,fc,sfc,0/1/to/96,
129,Geopotential,z,m**2 s**-2,instantaneous,oper,fc,pl,0/1/to/96,1/2/3/5/7/10/20/30/50/70/100/150/200/250/300/400/500/700/850/925/1000
130,Temperature,t,K,instantaneous,oper,fc,pl,0/1/to/96,1/2/3/5/7/10/20/30/50/70/100/150/200/250/300/400/500/700/850/925/1000
131,U component of wind,u,m s**-1,instantaneous,oper,fc,pl,0/1/to/96,1/2/3/5/7/10/20/30/50/70/100/150/200/250/300/400/500/700/850/925/1000
132,V component of wind,v,m s**-1,instantaneous,oper,fc,pl,0/1/to/96,1/2/3/5/7/10/20/30/50/70/100/150/200/250/300/400/500/700/850/925/1000
133,Specific humidity,q,kg kg**-1,instantaneous,oper,fc,pl,0/1/to/96,1/2/3/5/7/10/20/30/50/70/100/150/200/250/300/400/500/700/850/925/1000
157,Relative humidity,r,%,instantaneous,oper,fc,pl,0/1/to/96,1/2/3/5/7/10/20/30/50/70/100/150/200/250/300/400/500/700/850/925/1000
131,100 metre U wind component,u,m s**-1,instantaneous,oper,fc,hl,0/1/to/96,100
132,100 metre V wind component,v,m s**-1,instantaneous,oper,fc,hl,0/1/to/96,100
228058,Averaged total lightning flash density in the last 6 hours,litota6,km**-2 day**-1,mean,oper,fc,sfc,0-6/6-12/to/90-96,
142,Large-scale precipitation,lsp,m,accumulated,oper,fc,sfc,0-1/1-2/to/95-96,
144,Snowfall,sf,m of water equivalent,accumulated,oper,fc,sfc,0-1/1-2/to/95-96,
169,Surface short-wave (solar) radiation downwards,ssrd,J m**-2,accumulated,oper,fc,sfc,0-1/1-2/to/95-96,
175,Surface long-wave (thermal) radiation downwards,strd,J m**-2,accumulated,oper,fc,sfc,0-1/1-2/to/95-96,
176,Surface net short-wave (solar) radiation,ssr,J m**-2,accumulated,oper,fc,sfc,0-1/1-2/to/95-96,
177,Surface net long-wave (thermal) radiation,str,J m**-2,accumulated,oper,fc,sfc,0-1/1-2/to/95-96,
178,Top net short-wave (solar) radiation,tsr,J m**-2,accumulated,oper,fc,sfc,0-1/1-2/to/95-96,
179,Top net long-wave (thermal) radiation,ttr,J m**-2,accumulated,oper,fc,sfc,0-1/1-2/to/95-96,
180,Time-integrated eastward turbulent surface stress,ewss,N m**-2 s,accumulated,oper,fc,sfc,0-1/1-2/to/95-96,
181,Time-integrated northward turbulent surface stress,nsss,N m**-2 s,accumulated,oper,fc,sfc,0-1/1-2/to/95-96,
205,Runoff,ro,m,accumulated,oper,fc,sfc,0-1/1-2/to/95-96,
228,Total precipitation,tp,m,accumulated,oper,fc,sfc,0-1/1-2/to/95-96,
228216,Accumulated freezing rain,fzra,m,accumulated,oper,fc,sfc,0-1/1-2/to/95-96,
